layer,g,tanh_g
0,0.000347137451171875,0.0003471374372280111
1,0.000576019287109375,0.0005760192234019922
2,0.000499725341796875,0.0004997253001988392
3,0.0004730224609375,0.0004730224256578721
4,-0.000637054443359375,-0.0006370543571790114
5,-0.00029754638671875,-0.0002975463779377743
6,-0.0006866455078125,-0.0006866453998988424
7,-0.000591278076171875,-0.0005912780072663553
8,0.0003566741943359375,0.00035667417921099296
9,-0.00063323974609375,-0.0006332396614522846
10,0.00037384033203125,0.0003738403146157005
11,0.000156402587890625,0.00015640258661533032
12,-3.743171691894531e-05,-3.743171690146304e-05
13,-0.00081634521484375,-0.0008163450335010057
14,-6.914138793945312e-05,-6.914138782927559e-05
15,-0.00069427490234375,-0.0006942747907928547
16,-0.00067138671875,-0.0006713866178718976
17,0.0003185272216796875,0.00031852721090714075
18,0.00089263916015625,0.000892638923069975
19,-0.01409912109375,-0.014098186935753107
20,0.000438690185546875,0.0004386901574050364
21,-0.01495361328125,-0.014952498785704153
22,0.006317138671875,0.006317054642130235
23,0.00201416015625,0.002014157432545162
